formula,material_id,band_gap,efermi,energy_above_hull,database_IDs,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
Ca10Mg2Sb9,mp-569202,0.0,5.08428438,0.0,icsd-171162,"{20: 10, 12: 2, 51: 9}","[12, 20, 51]",1222010519,Ca10Mg2Sb9
Ca(MgAs)2,mp-9564,1.2605000000000004,3.35493344,0.0,icsd-100041,"{20: 1, 12: 2, 33: 2}","[12, 20, 33]",122201332,Ca1Mg2As2
Ca(MgSb)2,mp-9565,0.7931000000000008,4.20916408,0.0,icsd-100045,"{20: 1, 12: 2, 51: 2}","[12, 20, 51]",122201512,Ca1Mg2Sb2
Ca(MgBi)2,mp-29208,0.3886000000000003,3.94999074,0.0,icsd-100048,"{20: 1, 12: 2, 83: 2}","[12, 20, 83]",122201832,Ca1Mg2Bi2
Ca3Be2Si3(HO6)2,mp-699464,5.168799999999999,1.91987524,0.0,icsd-95362,"{20: 3, 4: 2, 14: 3, 1: 2, 8: 12}","[1, 4, 8, 14, 20]",1242812143203,Ca3Be2Si3H2O12
Ca4Be2Al2Si9(HO14)2,mp-1214670,4.933,1.35463391,0.0,pf-19129,"{20: 4, 4: 2, 13: 2, 14: 9, 1: 2, 8: 28}","[1, 4, 8, 13, 14, 20]",1242828132149204,Ca4Be2Al2Si9H2O28
CaH24C6Br2(N2O)6,mp-1195960,4.6316,3.38711003,0.0,icsd-246795,"{20: 1, 1: 24, 6: 6, 35: 2, 7: 12, 8: 6}","[1, 6, 7, 8, 20, 35]",1246671286201352,Ca1H24C6Br2N12O6
CaH24(BrN4)2,mp-1196086,3.9677,1.72557253,0.0,icsd-427511,"{20: 1, 1: 24, 35: 2, 7: 8}","[1, 7, 20, 35]",12478201352,Ca1H24Br2N8
CaH24(IN4)2,mp-1194766,3.5261,1.80778578,0.0,icsd-427990,"{20: 1, 1: 24, 53: 2, 7: 8}","[1, 7, 20, 53]",12478201532,Ca1H24I2N8
Ca2B8H2O15,mp-706291,5.576099999999999,0.78525889,0.0,icsd-131,"{20: 2, 5: 8, 1: 2, 8: 15}","[1, 5, 8, 20]",1258815202,Ca2B8H2O15
NaCaMn2P3(HO6)2,mp-1204868,3.5058999999999996,2.54389134,0.0,icsd-166097,"{11: 1, 20: 1, 25: 2, 15: 3, 1: 2, 8: 12}","[1, 8, 11, 15, 20, 25]",12812111153201252,Na1Ca1Mn2P3H2O12
CaP4(HO6)2,mp-697657,5.6369,-0.25228473,0.0,icsd-82359,"{20: 1, 15: 4, 1: 2, 8: 12}","[1, 8, 15, 20]",12812154201,Ca1P4H2O12
Ca(HO)2,mp-23879,4.1119,-0.374246,0.0,icsd-34240,"{20: 1, 1: 2, 8: 2}","[1, 8, 20]",1282201,Ca1H2O2
Ca2Mg5Si8(HO12)2,mp-1196550,4.8269,6.91429779,0.0,icsd-9659,"{20: 2, 12: 5, 14: 8, 1: 2, 8: 24}","[1, 8, 12, 14, 20]",12824125148202,Ca2Mg5Si8H2O24
