formula,material_id,band_gap,efermi,energy_above_hull,database_IDs,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
ErAlNi,mp-1078826,0.0,5.69214552,0.0,icsd-607431,"{68: 1, 13: 1, 28: 1}","[13, 28, 68]",131281681,Er1Al1Ni1
TmAlNi,mp-1087523,0.0,5.70540468,0.0,icsd-608913,"{69: 1, 13: 1, 28: 1}","[13, 28, 69]",131281691,Tm1Al1Ni1
LuAlNi,mp-1079819,0.0,5.67247658,0.0,icsd-608393,"{71: 1, 13: 1, 28: 1}","[13, 28, 71]",131281711,Lu1Al1Ni1
HfAlNi,mp-1078767,0.0,7.04378365,0.0,icsd-608118,"{72: 1, 13: 1, 28: 1}","[13, 28, 72]",131281721,Hf1Al1Ni1
ThAlNi,mp-1078581,0.0,7.92370863,0.0,icsd-608053,"{90: 1, 13: 1, 28: 1}","[13, 28, 90]",131281901,Th1Al1Ni1
ZrAlNi2,mp-3944,0.0,6.97627983,0.0,icsd-608975,"{40: 1, 13: 1, 28: 2}","[13, 28, 40]",131282401,Zr1Al1Ni2
Nd2AlNi2,mp-1069330,0.0,5.33049857,0.0,icsd-608769,"{60: 2, 13: 1, 28: 2}","[13, 28, 60]",131282602,Nd2Al1Ni2
Sm2AlNi2,mp-1206462,0.0,5.39197102,0.0,pf-22892,"{62: 2, 13: 1, 28: 2}","[13, 28, 62]",131282622,Sm2Al1Ni2
Gd2AlNi2,mp-1071506,0.0,5.247006,0.0,icsd-607901,"{64: 2, 13: 1, 28: 2}","[13, 28, 64]",131282642,Gd2Al1Ni2
Tb2AlNi2,mp-1069297,0.0,5.39320588,0.0,icsd-608886,"{65: 2, 13: 1, 28: 2}","[13, 28, 65]",131282652,Tb2Al1Ni2
Er2AlNi2,mp-1068244,0.0,5.43449777,0.0,icsd-607424,"{68: 2, 13: 1, 28: 2}","[13, 28, 68]",131282682,Er2Al1Ni2
Tm2AlNi2,mp-1069611,0.0,5.33825723,0.0,icsd-608919,"{69: 2, 13: 1, 28: 2}","[13, 28, 69]",131282692,Tm2Al1Ni2
Lu2AlNi2,mp-1070507,0.0,5.31586317,0.0,icsd-608388,"{71: 2, 13: 1, 28: 2}","[13, 28, 71]",131282712,Lu2Al1Ni2
HfAlNi2,mp-5748,0.0,7.31555534,0.0,icsd-608123,"{72: 1, 13: 1, 28: 2}","[13, 28, 72]",131282721,Hf1Al1Ni2
AlNi3,mp-2593,0.0,8.50778329,0.0,icsd-608813,"{13: 1, 28: 3}","[13, 28]",131283,Al1Ni3
Dy3AlNi8,mp-1192283,0.0,6.51491936,0.0,icsd-607316,"{66: 3, 13: 1, 28: 8}","[13, 28, 66]",131288663,Dy3Al1Ni8
La2AlNi9,mp-568040,0.0,8.31483473,0.0,icsd-162098,"{57: 2, 13: 1, 28: 9}","[13, 28, 57]",131289572,La2Al1Ni9
Ti6Al16Ni7,mp-865235,0.0,8.18121903,0.0,icsd-608909,"{22: 6, 13: 16, 28: 7}","[13, 22, 28]",1316226287,Ti6Al16Ni7
Zr6Al16Ni7,mp-1193679,0.0,7.38648245,0.0,icsd-608966,"{40: 6, 13: 16, 28: 7}","[13, 28, 40]",1316287406,Zr6Al16Ni7
CaNiH3,mp-1207078,0.0,5.68914589,0.0,icsd-171478,"{20: 1, 28: 1, 1: 3}","[1, 20, 28]",13201281,Ca1Ni1H3
ScAl2Ni,mp-12781,0.0,6.79041243,0.0,icsd-370012,"{21: 1, 13: 2, 28: 1}","[13, 21, 28]",132211281,Sc1Al2Ni1
YAl2Ni,mp-13094,0.0,6.24032105,0.0,icsd-160930,"{39: 1, 13: 2, 28: 1}","[13, 28, 39]",132281391,Y1Al2Ni1
PrAl2Ni,mp-1206143,0.0,5.98816047,0.0,pf-26696,"{59: 1, 13: 2, 28: 1}","[13, 28, 59]",132281591,Pr1Al2Ni1
NdAl2Ni,mp-1206051,0.0,5.8700445,0.0,pf-37199,"{60: 1, 13: 2, 28: 1}","[13, 28, 60]",132281601,Nd1Al2Ni1
SmAl2Ni,mp-1025458,0.0,5.69692398,0.0,pf-5767,"{62: 1, 13: 2, 28: 1}","[13, 28, 62]",132281621,Sm1Al2Ni1
GdAl2Ni,mp-630019,0.0,6.04980922,0.0,icsd-57879,"{64: 1, 13: 2, 28: 1}","[13, 28, 64]",132281641,Gd1Al2Ni1
TbAl2Ni,mp-16516,0.0,6.18200771,0.0,icsd-608885,"{65: 1, 13: 2, 28: 1}","[13, 28, 65]",132281651,Tb1Al2Ni1
DyAl2Ni,mp-569385,0.0,6.37806051,0.0,icsd-57759,"{66: 1, 13: 2, 28: 1}","[13, 28, 66]",132281661,Dy1Al2Ni1
HoAl2Ni,mp-16503,0.0,6.20353567,0.0,icsd-57919,"{67: 1, 13: 2, 28: 1}","[13, 28, 67]",132281671,Ho1Al2Ni1
ErAl2Ni,mp-31182,0.0,6.24156725,0.0,icsd-57778,"{68: 1, 13: 2, 28: 1}","[13, 28, 68]",132281681,Er1Al2Ni1
TmAl2Ni,mp-16517,0.0,6.24823674,0.0,icsd-58067,"{69: 1, 13: 2, 28: 1}","[13, 28, 69]",132281691,Tm1Al2Ni1
LuAl2Ni,mp-1025389,0.0,6.2944886,0.0,icsd-608387,"{71: 1, 13: 2, 28: 1}","[13, 28, 71]",132281711,Lu1Al2Ni1
Hf6Al2Ni,mp-1206477,0.0,5.36323402,0.0,pf-32470,"{72: 6, 13: 2, 28: 1}","[13, 28, 72]",132281726,Hf6Al2Ni1
Y3(AlNi3)2,mp-4577,0.0,6.06408773,0.0,icsd-160937,"{39: 3, 13: 2, 28: 6}","[13, 28, 39]",132286393,Y3Al2Ni6
Sm3(AlNi3)2,mp-573541,0.0,5.97176661,0.0,icsd-105533,"{62: 3, 13: 2, 28: 6}","[13, 28, 62]",132286623,Sm3Al2Ni6
Gd3(AlNi3)2,mp-580327,0.0,5.95865483,0.0,icsd-105143,"{64: 3, 13: 2, 28: 6}","[13, 28, 64]",132286643,Gd3Al2Ni6
Tb3(AlNi3)2,mp-1191827,0.0,6.05081912,0.0,icsd-608878,"{65: 3, 13: 2, 28: 6}","[13, 28, 65]",132286653,Tb3Al2Ni6
Dy3(AlNi3)2,mp-16807,0.0,6.06256247,0.0,icsd-607315,"{66: 3, 13: 2, 28: 6}","[13, 28, 66]",132286663,Dy3Al2Ni6
