formula,material_id,band_gap,efermi,energy_above_hull,database_IDs,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
Rb3B2P3H2O13,mp-1199257,5.2981,4.91801183,0.0,icsd-415665,"{37: 3, 5: 2, 15: 3, 1: 2, 8: 13}","[1, 5, 8, 15, 37]",1252813153373,Rb3B2P3H2O13
Mn4Si4SnB2(HO9)2,mp-726800,2.7959000000000005,2.98482616,0.0,icsd-84256,"{25: 4, 14: 4, 50: 1, 5: 2, 1: 2, 8: 18}","[1, 5, 8, 14, 25, 50]",1252818144254501,Mn4Si4Sn1B2H2O18
Na3B3H2O7,mp-720583,4.5439,0.3125207,0.0,icsd-1939,"{11: 3, 5: 3, 1: 2, 8: 7}","[1, 5, 8, 11]",125387113,Na3B3H2O7
CeB4H2ClO8,mp-1203793,0.4502999999999995,3.94966013,0.0,icsd-262373,"{58: 1, 5: 4, 1: 2, 17: 1, 8: 8}","[1, 5, 8, 17, 58]",125488171581,Ce1B4H2Cl1O8
Sr3B6H2O13,mp-1201690,5.3122,6.61917638,0.0,icsd-262541,"{38: 3, 5: 6, 1: 2, 8: 13}","[1, 5, 8, 38]",1256813383,Sr3B6H2O13
Ba3B6H2O13,mp-1199009,5.0891,6.27078581,0.0,icsd-262542,"{56: 3, 5: 6, 1: 2, 8: 13}","[1, 5, 8, 56]",1256813563,Ba3B6H2O13
Ca2B8H2O15,mp-706291,5.576099999999999,0.78525889,0.0,icsd-131,"{20: 2, 5: 8, 1: 2, 8: 15}","[1, 5, 8, 20]",1258815202,Ca2B8H2O15
B2H26C8N20Cl2O,mp-1204048,4.1207,-0.38209211,0.0,icsd-81194,"{5: 2, 1: 26, 6: 8, 7: 20, 17: 2, 8: 1}","[1, 5, 6, 7, 8, 17]",126526872081172,B2H26C8N20Cl2O1
BH3NF3,mp-24160,7.7194,-3.57946278,0.0,icsd-94885,"{5: 1, 1: 3, 7: 1, 9: 3}","[1, 5, 7, 9]",13517193,B1H3N1F3
BH3OF4,mp-696379,7.657299999999999,-3.8748985,0.0,icsd-15591,"{5: 1, 1: 3, 8: 1, 9: 4}","[1, 5, 8, 9]",13518194,B1H3O1F4
B(HO)3,mp-23791,6.0572,-2.79796467,0.0,icsd-61354,"{5: 1, 1: 3, 8: 3}","[1, 5, 8]",135183,B1H3O3
K3CuB2P4H3O17,mp-773133,0.3045,1.14218887,0.0,icsd-408834,"{19: 3, 29: 1, 5: 2, 15: 4, 1: 3, 8: 17}","[1, 5, 8, 15, 19, 29]",1352817154193291,K3Cu1B2P4H3O17
Ba2B2AsH3F18,mp-1198263,5.0476,1.45224726,0.0,icsd-420598,"{56: 2, 5: 2, 33: 1, 1: 3, 9: 18}","[1, 5, 9, 33, 56]",1352918331562,Ba2B2As1H3F18
CaB3H3O7,mp-722262,5.7435,0.7302591,0.0,icsd-39844,"{20: 1, 5: 3, 1: 3, 8: 7}","[1, 5, 8, 20]",135387201,Ca1B3H3O7
BaAlB4H3O10,mp-1195235,5.3921,0.07545494,0.0,icsd-426545,"{56: 1, 13: 1, 5: 4, 1: 3, 8: 10}","[1, 5, 8, 13, 56]",1354810131561,Ba1Al1B4H3O10
BaGaB4H3O10,mp-1194652,4.976,-0.25867752,0.0,icsd-427785,"{56: 1, 31: 1, 5: 4, 1: 3, 8: 10}","[1, 5, 8, 31, 56]",1354810311561,Ba1Ga1B4H3O10
LiBH4,mp-1192133,6.3705,2.42726724,0.0,icsd-168802,"{3: 1, 5: 1, 1: 4}","[1, 3, 5]",143151,Li1B1H4
K4B10H4O19,mp-1197401,5.1432,-0.39851045,0.0,icsd-170594,"{19: 4, 5: 10, 1: 4, 8: 19}","[1, 5, 8, 19]",14510819194,K4B10H4O19
NaBH4,mp-38725,6.3086,-2.36026639,0.0,icsd-181024,"{11: 1, 5: 1, 1: 4}","[1, 5, 11]",1451111,Na1B1H4
KBH4,mp-37722,6.0959,-3.31419747,0.0,icsd-160985,"{19: 1, 5: 1, 1: 4}","[1, 5, 19]",1451191,K1B1H4
BPH4NO4F,mp-1195775,5.8383,-0.53331022,0.0,icsd-170949,"{5: 1, 15: 1, 1: 4, 7: 1, 8: 4, 9: 1}","[1, 5, 7, 8, 9, 15]",1451718491151,B1P1H4N1O4F1
ZnBP2H4NO8,mp-24657,4.8437,0.092167,0.0,icsd-410872,"{30: 1, 5: 1, 15: 2, 1: 4, 7: 1, 8: 8}","[1, 5, 7, 8, 15, 30]",14517188152301,Zn1B1P2H4N1O8
BH4NF4,mp-720391,7.481199999999999,-3.53165251,0.0,icsd-423912,"{5: 1, 1: 4, 7: 1, 9: 4}","[1, 5, 7, 9]",14517194,B1H4N1F4
BH4O2F3,mp-696656,6.8268,-3.2091329,0.0,icsd-26551,"{5: 1, 1: 4, 8: 2, 9: 3}","[1, 5, 8, 9]",14518293,B1H4O2F3
B3H4NO5,mp-1200137,5.5239,6.20095286,0.0,icsd-427585,"{5: 3, 1: 4, 7: 1, 8: 5}","[1, 5, 7, 8]",14537185,B3H4N1O5
NaB3H4O7,mp-720642,5.3518,-0.51938692,0.0,icsd-4219,"{11: 1, 5: 3, 1: 4, 8: 7}","[1, 5, 8, 11]",145387111,Na1B3H4O7
Na3B3(HO2)4,mp-1203588,4.7627999999999995,0.04351065,0.0,icsd-260879,"{11: 3, 5: 3, 1: 4, 8: 8}","[1, 5, 8, 11]",145388113,Na3B3H4O8
Ca2B3H4ClO8,mp-1204342,5.5358,6.06587917,0.0,icsd-200074,"{20: 2, 5: 3, 1: 4, 17: 1, 8: 8}","[1, 5, 8, 17, 20]",145388171202,Ca2B3H4Cl1O8
B5H4NO8,mp-1196660,5.7298,-0.90785593,0.0,icsd-180583,"{5: 5, 1: 4, 7: 1, 8: 8}","[1, 5, 7, 8]",14557188,B5H4N1O8
NaB5(H2O5)2,mp-721294,5.5723,-1.62250221,0.0,icsd-1386,"{11: 1, 5: 5, 1: 4, 8: 10}","[1, 5, 8, 11]",1455810111,Na1B5H4O10
KB6P(H2O7)2,mp-758840,5.8809000000000005,4.82134234,0.0,icsd-410777,"{19: 1, 5: 6, 15: 1, 1: 4, 8: 14}","[1, 5, 8, 15, 19]",1456814151191,K1B6P1H4O14
CaB8H4O15,mp-23701,5.6011,-0.55559444,0.0,icsd-250323,"{20: 1, 5: 8, 1: 4, 8: 15}","[1, 5, 8, 20]",1458815201,Ca1B8H4O15
BaB8H4O15,mp-1202880,5.6377,5.50772785,0.0,icsd-421417,"{56: 1, 5: 8, 1: 4, 8: 15}","[1, 5, 8, 56]",1458815561,Ba1B8H4O15
B8H4PbO15,mp-1200630,4.763299999999999,4.90457742,0.0,icsd-391339,"{5: 8, 1: 4, 82: 1, 8: 15}","[1, 5, 8, 82]",1458815821,B8H4Pb1O15
VBP2H5NO9,mp-24710,1.7666000000000002,1.64962631,0.0,icsd-411643,"{23: 1, 5: 1, 15: 2, 1: 5, 7: 1, 8: 9}","[1, 5, 7, 8, 15, 23]",15517189152231,V1B1P2H5N1O9
InBP2H5NO9,mp-752709,4.0764000000000005,1.08561608,0.0,icsd-409584,"{49: 1, 5: 1, 15: 2, 1: 5, 7: 1, 8: 9}","[1, 5, 7, 8, 15, 49]",15517189152491,In1B1P2H5N1O9
BH5(OF2)2,mp-1196968,7.263999999999999,-3.65475017,0.0,icsd-15592,"{5: 1, 1: 5, 8: 2, 9: 4}","[1, 5, 8, 9]",15518294,B1H5O2F4
CsB2H5O6,mp-863006,5.0602,-0.94930926,0.0,icsd-50652,"{55: 1, 5: 2, 1: 5, 8: 6}","[1, 5, 8, 55]",155286551,Cs1B2H5O6
B5H5CI,mp-1202707,4.2014,-1.67538265,0.0,icsd-171164,"{5: 5, 1: 5, 6: 1, 53: 1}","[1, 5, 6, 53]",155561531,B5H5C1I1
LaB5H5NO14,mp-1202407,3.4857,0.72028526,0.0,icsd-189521,"{57: 1, 5: 5, 1: 5, 7: 1, 8: 14}","[1, 5, 7, 8, 57]",155571814571,La1B5H5N1O14
Rb2B7H5O14,mp-1197195,5.1122,-0.96087815,0.0,icsd-171351,"{37: 2, 5: 7, 1: 5, 8: 14}","[1, 5, 8, 37]",1557814372,Rb2B7H5O14
Li3MgZn5(BH4)15,mp-1197046,5.202999999999999,-3.83770097,0.0,icsd-237566,"{3: 3, 12: 1, 30: 5, 5: 15, 1: 60}","[1, 3, 5, 12, 30]",16033515121305,Li3Mg1Zn5B15H60
Li(BH)6,mp-1198726,5.6126000000000005,-1.71115326,0.0,icsd-246144,"{3: 1, 5: 6, 1: 6}","[1, 3, 5]",163156,Li1B6H6
K2B10H6O19,mp-1205077,5.7646,4.56019988,0.0,icsd-261898,"{19: 2, 5: 10, 1: 6, 8: 19}","[1, 5, 8, 19]",16510819192,K2B10H6O19
Rb2B10H6O19,mp-698164,5.7894000000000005,-1.09423224,0.0,icsd-99707,"{37: 2, 5: 10, 1: 6, 8: 19}","[1, 5, 8, 37]",16510819372,Rb2B10H6O19
AgB11H6CBr6,mp-703539,3.2973,-0.75232231,0.0,icsd-84105,"{47: 1, 5: 11, 1: 6, 6: 1, 35: 6}","[1, 5, 6, 35, 47]",1651161356471,Ag1B11H6C1Br6
BH6CN3F4,mp-862539,5.6634,-1.40571617,0.0,icsd-202434,"{5: 1, 1: 6, 6: 1, 7: 3, 9: 4}","[1, 5, 6, 7, 9]",1651617394,B1H6C1N3F4
Ba11B26P2(H3O29)2,mp-1195112,4.487,1.46209596,0.0,icsd-252577,"{56: 11, 5: 26, 15: 2, 1: 6, 8: 58}","[1, 5, 8, 15, 56]",165268581525611,Ba11B26P2H6O58
B5H6Br,mp-30977,3.0316,-2.1169162,0.0,icsd-2303,"{5: 5, 1: 6, 35: 1}","[1, 5, 35]",1655351,B5H6Br1
Na(BH)6,mp-978278,5.6439,-1.86260873,0.0,icsd-164649,"{11: 1, 5: 6, 1: 6}","[1, 5, 11]",1656111,Na1B6H6
K(BH)6,mp-24239,5.5283999999999995,-2.52744351,0.0,icsd-36148,"{19: 1, 5: 6, 1: 6}","[1, 5, 19]",1656191,K1B6H6
Rb(BH)6,mp-24123,5.5367,-2.51568475,0.0,icsd-98617,"{37: 1, 5: 6, 1: 6}","[1, 5, 37]",1656371,Rb1B6H6
Cs(BH)6,mp-24136,5.3831,-2.57009407,0.0,icsd-423177,"{55: 1, 5: 6, 1: 6}","[1, 5, 55]",1656551,Cs1B6H6
Tl(BH)6,mp-23691,4.5268999999999995,-1.30079993,0.0,icsd-422433,"{81: 1, 5: 6, 1: 6}","[1, 5, 81]",1656811,Tl1B6H6
SmB9(HO3)6,mp-1201785,5.2966,0.37712173,0.0,icsd-262442,"{62: 1, 5: 9, 1: 6, 8: 18}","[1, 5, 8, 62]",1659818621,Sm1B9H6O18
SrCaB11H7O22,mp-1208782,5.8782,5.81215786,0.0,pf-18572,"{38: 1, 20: 1, 5: 11, 1: 7, 8: 22}","[1, 5, 8, 20, 38]",17511822201381,Sr1Ca1B11H7O22
Ba2B11H7O22,mp-1196038,5.657,5.30426811,0.0,icsd-427176,"{56: 2, 5: 11, 1: 7, 8: 22}","[1, 5, 8, 56]",17511822562,Ba2B11H7O22
B5H7,mp-706630,3.3929,-2.32359062,0.0,icsd-9152,"{5: 5, 1: 7}","[1, 5]",1755,B5H7
Be(BH4)2,mp-27344,6.190300000000001,-3.81718603,0.0,icsd-161366,"{4: 1, 5: 2, 1: 8}","[1, 4, 5]",184152,Be1B2H8
Mg(BH4)2,mp-1200811,6.7129,-5.35533472,0.0,icsd-262080,"{12: 1, 5: 2, 1: 8}","[1, 5, 12]",1852121,Mg1B2H8
Ca(BH4)2,mp-1190619,4.9736,-2.80545374,0.0,icsd-164182,"{20: 1, 5: 2, 1: 8}","[1, 5, 20]",1852201,Ca1B2H8
Zn(BH4)2,mp-1191586,4.6445,-4.55835695,0.0,icsd-188395,"{30: 1, 5: 2, 1: 8}","[1, 5, 30]",1852301,Zn1B2H8
Cd(BH4)2,mp-1190754,3.9565,0.78256034,0.0,icsd-262600,"{48: 1, 5: 2, 1: 8}","[1, 5, 48]",1852481,Cd1B2H8
CsV3B2P4(H4O11)2,mp-1200471,0.0,3.04138735,0.0,icsd-411097,"{55: 1, 23: 3, 5: 2, 15: 4, 1: 8, 8: 22}","[1, 5, 8, 15, 23, 55]",1852822154233551,Cs1V3B2P4H8O22
K2B4H8O11,mp-721901,5.2011,-1.32333517,0.0,icsd-34648,"{19: 2, 5: 4, 1: 8, 8: 11}","[1, 5, 8, 19]",1854811192,K2B4H8O11
