formula,material_id,band_gap,efermi,energy_above_hull,database_IDs,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
K3TbSi3(HO5)2,mp-759928,4.603999999999999,0.42200301,0.0,icsd-413425,"{19: 3, 65: 1, 14: 3, 1: 2, 8: 10}","[1, 8, 14, 19, 65]",12810143193651,K3Tb1Si3H2O10
K3ErSi3(HO5)2,mp-758527,4.4098,0.37596064,0.0,icsd-413883,"{19: 3, 68: 1, 14: 3, 1: 2, 8: 10}","[1, 8, 14, 19, 68]",12810143193681,K3Er1Si3H2O10
Na3VSi4(HO6)2,mp-698046,2.2359000000000004,2.41500807,0.0,icsd-95685,"{11: 3, 23: 1, 14: 4, 1: 2, 8: 12}","[1, 8, 11, 14, 23]",12812113144231,Na3V1Si4H2O12
Mg3Si4(HO6)2,mp-696497,5.1766000000000005,1.39646555,0.0,icsd-100682,"{12: 3, 14: 4, 1: 2, 8: 12}","[1, 8, 12, 14]",12812123144,Mg3Si4H2O12
Cs2SiP4(HO7)2,mp-697078,5.1811,0.50364363,0.0,icsd-41356,"{55: 2, 14: 1, 15: 4, 1: 2, 8: 14}","[1, 8, 14, 15, 55]",12814141154552,Cs2Si1P4H2O14
BaSiP4(HO7)2,mp-722278,5.7482999999999995,1.16886783,0.0,icsd-41357,"{56: 1, 14: 1, 15: 4, 1: 2, 8: 14}","[1, 8, 14, 15, 56]",12814141154561,Ba1Si1P4H2O14
Ca2Mg5Si8(HO12)2,mp-1196550,4.8269,6.91429779,0.0,icsd-9659,"{20: 2, 12: 5, 14: 8, 1: 2, 8: 24}","[1, 8, 12, 14, 20]",12824125148202,Ca2Mg5Si8H2O24
Ca2Ga2Si(HO4)2,mp-760729,3.5382,0.8370487,0.0,icsd-280478,"{20: 2, 31: 2, 14: 1, 1: 2, 8: 8}","[1, 8, 14, 20, 31]",1288141202312,Ca2Ga2Si1H2O8
Al11(CoSi)6,mp-1214980,0.0,8.5524078,0.0,pf-11787,"{13: 11, 27: 6, 14: 6}","[13, 14, 27]",1311146276,Al11Co6Si6
CaAlSi,mp-567191,0.0,5.28209704,0.0,icsd-155192,"{20: 1, 13: 1, 14: 1}","[13, 14, 20]",131141201,Ca1Al1Si1
SrAlSi,mp-3698,0.0,4.45072699,0.0,icsd-162865,"{38: 1, 13: 1, 14: 1}","[13, 14, 38]",131141381,Sr1Al1Si1
YAlSi,mp-31080,0.0,6.31935613,0.0,icsd-99138,"{39: 1, 13: 1, 14: 1}","[13, 14, 39]",131141391,Y1Al1Si1
BaAlSi,mp-13149,0.0,3.97888423,0.0,icsd-162866,"{56: 1, 13: 1, 14: 1}","[13, 14, 56]",131141561,Ba1Al1Si1
CeAlSi,mp-1206597,0.0,7.38424189,0.0,pf-36654,"{58: 1, 13: 1, 14: 1}","[13, 14, 58]",131141581,Ce1Al1Si1
SmAlSi,mp-12804,0.0,5.96446281,0.0,icsd-151717,"{62: 1, 13: 1, 14: 1}","[13, 14, 62]",131141621,Sm1Al1Si1
DyAlSi,mp-1206330,0.0,6.27242127,0.0,pf-296,"{66: 1, 13: 1, 14: 1}","[13, 14, 66]",131141661,Dy1Al1Si1
HoAlSi,mp-1206025,0.0,6.23170319,0.0,pf-10826,"{67: 1, 13: 1, 14: 1}","[13, 14, 67]",131141671,Ho1Al1Si1
ErAlSi,mp-1206326,0.0,6.28936298,0.0,pf-22560,"{68: 1, 13: 1, 14: 1}","[13, 14, 68]",131141681,Er1Al1Si1
TmAlSi,mp-571506,0.0,6.29925639,0.0,icsd-415372,"{69: 1, 13: 1, 14: 1}","[13, 14, 69]",131141691,Tm1Al1Si1
LuAlSi,mp-567229,0.0,6.35964766,0.0,icsd-415373,"{71: 1, 13: 1, 14: 1}","[13, 14, 71]",131141711,Lu1Al1Si1
Sc2AlSi2,mp-10676,0.0,7.0677018,0.0,icsd-52653,"{21: 2, 13: 1, 14: 2}","[13, 14, 21]",131142212,Sc2Al1Si2
Al(CoSi)2,mp-10010,0.0,9.14765148,0.0,icsd-43353,"{13: 1, 27: 2, 14: 2}","[13, 14, 27]",131142272,Al1Co2Si2
Y2AlSi2,mp-10527,0.0,5.71516606,0.0,icsd-92450,"{39: 2, 13: 1, 14: 2}","[13, 14, 39]",131142392,Y2Al1Si2
LaAlSi2,mp-5330,0.0,7.81416942,0.0,icsd-94501,"{57: 1, 13: 1, 14: 2}","[13, 14, 57]",131142571,La1Al1Si2
PrAlSi2,mp-571554,0.0,6.19761853,0.0,icsd-152802,"{59: 1, 13: 1, 14: 2}","[13, 14, 59]",131142591,Pr1Al1Si2
Ho2AlSi2,mp-10528,0.0,5.59150925,0.0,icsd-92451,"{67: 2, 13: 1, 14: 2}","[13, 14, 67]",131142672,Ho2Al1Si2
Er2AlSi2,mp-10529,0.0,5.64367038,0.0,icsd-92452,"{68: 2, 13: 1, 14: 2}","[13, 14, 68]",131142682,Er2Al1Si2
Tm2AlSi2,mp-10530,0.0,5.65446602,0.0,icsd-92453,"{69: 2, 13: 1, 14: 2}","[13, 14, 69]",131142692,Tm2Al1Si2
Lu2AlSi2,mp-10531,0.0,5.75243691,0.0,icsd-92454,"{71: 2, 13: 1, 14: 2}","[13, 14, 71]",131142712,Lu2Al1Si2
KSiH3,mp-28695,2.5733,0.34475498,0.0,icsd-65954,"{19: 1, 14: 1, 1: 3}","[1, 14, 19]",13141191,K1Si1H3
SiH3I,mp-28538,4.2188,-1.20100397,0.0,icsd-65044,"{14: 1, 1: 3, 53: 1}","[1, 14, 53]",13141531,Si1H3I1
Ca(AlSi)2,mp-7704,0.0,5.55798565,0.0,icsd-20278,"{20: 1, 13: 2, 14: 2}","[13, 14, 20]",132142201,Ca1Al2Si2
Sr(AlSi)2,mp-6931,0.0,5.14132564,0.0,icsd-609338,"{38: 1, 13: 2, 14: 2}","[13, 14, 38]",132142381,Sr1Al2Si2
Sr3(AlSi)2,mp-7068,0.0,3.73730792,0.0,icsd-100127,"{38: 3, 13: 2, 14: 2}","[13, 14, 38]",132142383,Sr3Al2Si2
Y(AlSi)2,mp-10435,0.0,6.41168325,0.0,icsd-609361,"{39: 1, 13: 2, 14: 2}","[13, 14, 39]",132142391,Y1Al2Si2
Ba(AlSi)2,mp-5506,0.0,5.2133961,0.0,icsd-249559,"{56: 1, 13: 2, 14: 2}","[13, 14, 56]",132142561,Ba1Al2Si2
