2theta,Intensity
22.68,10
22.7,14
22.72,12
22.74,8.66667
22.76,6.66667
22.78,10
22.8,12.6667
22.82,7.33333
22.84,9.33333
22.86,8.66667
22.88,6.66667
22.9,8
22.92,9.33333
22.94,4
22.96,5.33333
22.98,10
23,10.6667
23.02,10.6667
23.04,9.33333
23.06,10
23.08,10
23.1,8
23.12,10
23.14,11.3333
23.16,11.3333
23.18,8.66667
23.2,9.33333
23.22,10
23.24,9.33333
23.26,8.66667
23.28,6
23.3,8
23.32,10.6667
23.34,6
23.36,8
23.38,9.33333
23.4,9.33333
23.42,12
23.44,11.3333
23.46,7.33333
23.48,8
23.5,11.3333
23.52,9.33333
23.54,10
23.56,11.3333
23.58,6
23.6,5.33333
23.62,10
23.64,8.66667
23.66,5.33333
23.68,10.6667
23.7,12
23.72,6.66667
23.74,6.66667
23.76,9.33333
23.78,11.3333
23.8,11.3333
23.82,13.3333
23.84,9.33333
23.86,8
23.88,11.3333
23.9,8.66667
23.92,10.6667
23.94,13.3333
23.96,6.66667
23.98,7.33333
24,8.66667
24.02,13.3333
24.04,10
24.06,12
24.08,13.3333
24.1,10
24.12,12.6667
24.14,14
24.16,13.3333
24.18,13.3333
24.2,13.3333
24.22,18
24.24,17.3333
24.26,19.3333
24.28,18
24.3,19.3333
24.32,28.6667
24.34,35.3333
24.36,31.3333
24.38,32.6667
24.4,34
24.42,49.3333
24.44,58
24.46,89.3333
24.48,94
24.5,128
24.52,183.333
24.54,215.333
24.56,262.667
24.58,338.667
24.6,335.333
24.62,358
24.64,343.333
24.66,335.333
24.68,274.667
24.7,246.667
24.72,186
24.74,142.667
24.76,100.667
24.78,77.3333
24.8,44
24.82,32.6667
24.84,30.6667
24.86,36.6667
24.88,31.3333
24.9,25.3333
24.92,25.3333
24.94,26
24.96,19.3333
24.98,20
25,16.6667
25.02,13.3333
25.04,12
25.06,18
25.08,16
25.1,19.3333
25.12,14
25.14,17.3333
25.16,9.33333
25.18,12
25.2,14.6667
25.22,19.3333
25.24,15.3333
25.26,14
25.28,9.33333
25.3,10
25.32,16
25.34,13.3333
25.36,10.6667
25.38,16
25.4,10
25.42,12
25.44,10.6667
25.46,13.3333
25.48,13.3333
25.5,10
25.52,10.6667
25.54,16.6667
25.56,15.3333
25.58,12.6667
25.6,21.3333
25.62,10
25.64,16
25.66,24
25.68,30
25.7,28
25.72,36.6667
25.74,39.3333
25.76,48.6667
25.78,52.6667
25.8,52.6667
25.82,46
25.84,43.3333
25.86,41.3333
25.88,30.6667
25.9,30
25.92,17.3333
25.94,18
25.96,15.3333
25.98,12.6667
26,10.6667
26.02,15.3333
26.04,10
26.06,15.3333
26.08,10.6667
26.1,14
26.12,13.3333
26.14,13.3333
26.16,13.3333
26.18,16.6667
26.2,20
26.22,11.3333
26.24,14
26.26,16.6667
26.28,21.3333
26.3,22.6667
26.32,23.3333
26.34,20
26.36,26
26.38,41.3333
26.4,45.3333
26.42,76
26.44,86.6667
26.46,92
26.48,110.667
26.5,120
26.52,140.667
26.54,141.333
26.56,134
26.58,125.333
26.6,101.333
26.62,75.3333
26.64,59.3333
26.66,40.6667
26.68,34.6667
26.7,28.6667
26.72,19.3333
26.74,18
26.76,12.6667
