2theta,Intensity
23.36,4.16667
23.38,5
23.4,7.5
23.42,8.33333
23.44,8.33333
23.46,10.8333
23.48,7.5
23.5,4.16667
23.52,4.16667
23.54,11.6667
23.56,6.66667
23.58,3.33333
23.6,6.66667
23.62,6.66667
23.64,6.66667
23.66,5.83333
23.68,6.66667
23.7,6.66667
23.72,6.66667
23.74,8.33333
23.76,7.5
23.78,5.83333
23.8,5
23.82,5.83333
23.84,6.66667
23.86,9.16667
23.88,6.66667
23.9,9.16667
23.92,10
23.94,8.33333
23.96,7.5
23.98,7.5
24,8.33333
24.02,12.5
24.04,10
24.06,8.33333
24.08,9.16667
24.1,7.5
24.12,9.16667
24.14,10.8333
24.16,10
24.18,12.5
24.2,9.16667
24.22,10
24.24,7.5
24.26,9.16667
24.28,11.6667
24.3,6.66667
24.32,10
24.34,14.1667
24.36,14.1667
24.38,13.3333
24.4,16.6667
24.42,15
24.44,15.8333
24.46,21.6667
24.48,18.3333
24.5,24.1667
24.52,42.5
24.54,45.8333
24.56,53.3333
24.58,65
24.6,109.167
24.62,122.5
24.64,140.833
24.66,180.833
24.68,229.167
24.7,288.333
24.72,315.833
24.74,314.167
24.76,341.667
24.78,330
24.8,307.5
24.82,257.5
24.84,195
24.86,138.333
24.88,105.833
24.9,66.6667
24.92,48.3333
24.94,32.5
24.96,30
24.98,21.6667
25,25
25.02,22.5
25.04,19.1667
25.06,20.8333
25.08,16.6667
25.1,16.6667
25.12,20.8333
25.14,15.8333
25.16,13.3333
25.18,14.1667
25.2,13.3333
25.22,13.3333
25.24,14.1667
25.26,14.1667
25.28,9.16667
25.3,8.33333
25.32,10.8333
25.34,13.3333
25.36,11.6667
25.38,11.6667
25.4,13.3333
25.42,10.8333
25.44,10
25.46,11.6667
25.48,9.16667
25.5,9.16667
25.52,7.5
25.54,10.8333
25.56,11.6667
25.58,8.33333
25.6,5.83333
25.62,11.6667
25.64,14.1667
25.66,10
25.68,12.5
25.7,15
25.72,10
25.74,14.1667
25.76,13.3333
25.78,18.3333
25.8,17.5
25.82,25.8333
25.84,27.5
25.86,34.1667
25.88,40
25.9,37.5
25.92,43.3333
25.94,45
25.96,39.1667
25.98,32.5
26,26.6667
26.02,34.1667
26.04,24.1667
26.06,15.8333
26.08,17.5
26.1,10
26.12,13.3333
26.14,16.6667
26.16,11.6667
26.18,10.8333
26.2,14.1667
26.22,19.1667
26.24,15.8333
26.26,18.3333
26.28,18.3333
26.3,15.8333
26.32,20
26.34,15.8333
26.36,20
26.38,20
26.4,21.6667
26.42,35
26.44,50
26.46,55.8333
26.48,67.5
26.5,102.5
26.52,120.833
26.54,151.667
26.56,175.833
26.58,207.5
26.6,274.167
26.62,242.5
26.64,260.833
26.66,256.667
26.68,273.333
26.7,211.667
26.72,157.5
26.74,134.167
26.76,95
26.78,65.8333
26.8,64.1667
26.82,36.6667
26.84,21.6667
26.86,25
26.88,14.1667
26.9,17.5
26.92,21.6667
26.94,19.1667
26.96,13.3333
26.98,13.3333
27,18.3333
27.02,10
27.04,12.5
27.06,12.5
27.08,20
27.1,12.5
27.12,5.83333
27.14,17.5
27.16,10.8333
27.18,12.5
27.2,15.8333
27.22,13.3333
27.24,13.3333
27.26,14.1667
27.28,17.5
27.3,23.3333
27.32,27.5
27.34,29.1667
27.36,36.6667
27.38,35.8333
27.4,40.8333
27.42,52.5
27.44,70.8333
27.46,60.8333
27.48,54.1667
27.5,65
27.52,61.6667
27.54,48.3333
27.56,42.5
27.58,27.5
27.6,24.1667
27.62,17.5
27.64,20
27.66,13.3333
27.68,12.5
27.7,8.33333
27.72,9.16667
27.74,14.1667
27.76,9.16667
27.78,12.5
27.8,10
27.82,10.8333
27.84,9.16667
27.86,9.16667
27.88,12.5
27.9,6.66667
27.92,8.33333
27.94,10
27.96,5.83333
27.98,8.33333
28,9.16667
28.02,10
28.04,9.16667
28.06,11.6667
28.08,10
28.1,9.16667
28.12,4.16667
28.14,14.1667
28.16,10
28.18,10.8333
28.2,3.33333
28.22,7.5
28.24,11.6667
28.26,8.33333
28.28,13.3333
28.3,6.66667
28.32,8.33333
28.34,8.33333
28.36,9.16667
28.38,5.83333
28.4,10.8333
28.42,4.16667
28.44,8.33333
28.46,6.66667
28.48,6.66667
28.5,6.66667
28.52,8.33333
28.54,9.16667
28.56,7.5
28.58,10.8333
28.6,12.5
28.62,8.33333
28.64,10.8333
28.66,17.5
28.68,12.5
28.7,11.6667
28.72,10.8333
28.74,10
28.76,5.83333
28.78,9.16667
28.8,12.5
28.82,15
28.84,13.3333
28.86,14.1667
28.88,11.6667
28.9,10.8333
28.92,16.6667
28.94,10.8333
28.96,10.8333
28.98,16.6667
29,14.1667
29.02,11.6667
29.04,9.16667
29.06,12.5
29.08,10.8333
29.1,8.33333
29.12,9.16667
29.14,14.1667
29.16,13.3333
29.18,14.1667
29.2,18.3333
29.22,13.3333
29.24,15.8333
29.26,22.5
29.28,15
29.3,25.8333
29.32,36.6667
29.34,39.1667
29.36,40.8333
29.38,67.5
29.4,70.8333
29.42,86.6667
29.44,84.1667
29.46,85
29.48,102.5
29.5,96.6667
29.52,75.8333
29.54,59.1667
29.56,53.3333
29.58,36.6667
29.6,27.5
29.62,24.1667
29.64,16.6667
29.66,15.8333
29.68,18.3333
29.7,13.3333
29.72,13.3333
29.74,13.3333
29.76,9.16667
29.78,7.5
29.8,14.1667
29.82,10.8333
29.84,10
29.86,11.6667
29.88,7.5
29.9,5.83333
29.92,5
29.94,13.3333
29.96,14.1667
29.98,10.8333
30,8.33333
30.02,6.66667
30.04,4.16667
30.06,5
30.08,10.8333
30.1,12.5
30.12,8.33333
30.14,10
30.16,9.16667
30.18,8.33333
30.2,10.8333
30.22,14.1667
30.24,9.16667
30.26,10.8333
30.28,7.5
30.3,7.5
30.32,7.5
30.34,7.5
30.36,8.33333
30.38,9.16667
30.4,12.5
30.42,9.16667
30.44,9.16667
30.46,12.5
30.48,11.6667
30.5,11.6667
30.52,10.8333
30.54,9.16667
30.56,9.16667
30.58,10
30.6,8.33333
30.62,10
30.64,7.5
30.66,8.33333
30.68,6.66667
30.7,10.8333
30.72,8.33333
30.74,8.33333
30.76,7.5
30.78,5.83333
30.8,7.5
30.82,9.16667
30.84,7.5
30.86,10
30.88,6.66667
30.9,10.8333
30.92,11.6667
30.94,9.16667
30.96,9.16667
30.98,9.16667
31,12.5
31.02,7.5
31.04,7.5
31.06,5.83333
31.08,10.8333
31.1,8.33333
31.12,10.8333
31.14,5.83333
31.16,5.83333
31.18,6.66667
31.2,9.16667
31.22,6.66667
31.24,6.66667
31.26,5.83333
31.28,5.83333
31.3,9.16667
31.32,5
31.34,6.66667
31.36,8.33333
31.38,10
31.4,11.6667
31.42,12.5
31.44,9.16667
31.46,12.5
31.48,10.8333
31.5,12.5
31.52,16.6667
31.54,15
31.56,19.1667
31.58,20
31.6,20
31.62,25
31.64,35
31.66,44.1667
31.68,47.5
31.7,49.1667
31.72,54.1667
31.74,55
31.76,54.1667
31.78,45
31.8,38.3333
31.82,43.3333
31.84,35
31.86,39.1667
31.88,48.3333
31.9,55
31.92,63.3333
31.94,82.5
31.96,113.333
31.98,140.833
32,188.333
32.02,234.167
32.04,290
32.06,342.5
32.08,372.5
32.1,369.167
32.12,368.333
32.14,348.333
32.16,314.167
32.18,259.167
32.2,211.667
32.22,165.833
32.24,129.167
32.26,93.3333
