formula,material_id,band_gap,efermi,energy_above_hull,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
KCa4B22H18ClO46,mp-722344,5.5100999999999996,0.07435818,0.0,"{19: 1, 20: 4, 5: 22, 1: 18, 17: 1, 8: 46}","[1, 5, 8, 17, 19, 20]",118522846171191204,K1Ca4B22H18Cl1O46
LiZn2(BH4)5,mp-1198025,5.7198,-4.21263501,0.0,"{3: 1, 30: 2, 5: 5, 1: 20}","[1, 3, 5, 30]",1203155302,Li1Zn2B5H20
NaZn2(BH4)5,mp-1201672,6.1594999999999995,-4.61311763,0.0,"{11: 1, 30: 2, 5: 5, 1: 20}","[1, 5, 11, 30]",12055111302,Na1Zn2B5H20
K2Gd(BH4)5,mp-1195504,2.5191000000000003,-0.61474058,0.0,"{19: 2, 64: 1, 5: 5, 1: 20}","[1, 5, 19, 64]",12055192641,K2Gd1B5H20
LiB5H2O9,mp-740714,6.0817,-1.13172238,0.0,"{3: 1, 5: 5, 1: 2, 8: 9}","[1, 3, 5, 8]",12315589,Li1B5H2O9
Li3B5(HO5)2,mp-1199091,5.833799999999999,0.47223995,0.0,"{3: 3, 5: 5, 1: 2, 8: 10}","[1, 3, 5, 8]",123355810,Li3B5H2O10
NaMn2Si3BH2O11,mp-1197081,0.0,3.97583483,0.0,"{11: 1, 25: 2, 14: 3, 5: 1, 1: 2, 8: 11}","[1, 5, 8, 11, 14, 25]",1251811111143252,Na1Mn2Si3B1H2O11
BH2OF3,mp-707009,7.567699999999999,-4.20431548,0.0,"{5: 1, 1: 2, 8: 1, 9: 3}","[1, 5, 8, 9]",12518193,B1H2O1F3
AgBH2OF4,mp-24058,3.044,-1.38990709,0.0,"{47: 1, 5: 1, 1: 2, 8: 1, 9: 4}","[1, 5, 8, 9, 47]",12518194471,Ag1B1H2O1F4
Mg3BH2O5F,mp-1222264,3.8004,5.33677652,0.0,"{12: 3, 5: 1, 1: 2, 8: 5, 9: 1}","[1, 5, 8, 9, 12]",12518591123,Mg3B1H2O5F1
KMnBP2H2O9,mp-1197780,4.6073,5.56320623,0.0,"{19: 1, 25: 1, 5: 1, 15: 2, 1: 2, 8: 9}","[1, 5, 8, 15, 19, 25]",125189152191251,K1Mn1B1P2H2O9
Rb3B2P3H2O13,mp-1199257,5.2981,4.91801183,0.0,"{37: 3, 5: 2, 15: 3, 1: 2, 8: 13}","[1, 5, 8, 15, 37]",1252813153373,Rb3B2P3H2O13
Mn4Si4SnB2(HO9)2,mp-726800,2.7959000000000005,2.98482616,0.0,"{25: 4, 14: 4, 50: 1, 5: 2, 1: 2, 8: 18}","[1, 5, 8, 14, 25, 50]",1252818144254501,Mn4Si4Sn1B2H2O18
Na3B3H2O7,mp-720583,4.5439,0.3125207,0.0,"{11: 3, 5: 3, 1: 2, 8: 7}","[1, 5, 8, 11]",125387113,Na3B3H2O7
CeB4H2ClO8,mp-1203793,0.4502999999999995,3.94966013,0.0,"{58: 1, 5: 4, 1: 2, 17: 1, 8: 8}","[1, 5, 8, 17, 58]",125488171581,Ce1B4H2Cl1O8
Sr3B6H2O13,mp-1201690,5.3122,6.61917638,0.0,"{38: 3, 5: 6, 1: 2, 8: 13}","[1, 5, 8, 38]",1256813383,Sr3B6H2O13
Ca2B8H2O15,mp-706291,5.576099999999999,0.78525889,0.0,"{20: 2, 5: 8, 1: 2, 8: 15}","[1, 5, 8, 20]",1258815202,Ca2B8H2O15
Sr2LiB10H3O19,mp-1218822,5.3061,6.09976755,0.0,"{38: 2, 3: 1, 5: 10, 1: 3, 8: 19}","[1, 3, 5, 8, 38]",1331510819382,Sr2Li1B10H3O19
LiGaBH3O5,mp-1222409,4.4692,2.52365081,0.0,"{3: 1, 31: 1, 5: 1, 1: 3, 8: 5}","[1, 3, 5, 8, 31]",13315185311,Li1Ga1B1H3O5
Be2BH3O5,mp-1227442,5.6261,-0.45647157,0.0,"{4: 2, 5: 1, 1: 3, 8: 5}","[1, 4, 5, 8]",13425185,Be2B1H3O5
BH3OF4,mp-696379,7.657299999999999,-3.8748985,0.0,"{5: 1, 1: 3, 8: 1, 9: 4}","[1, 5, 8, 9]",13518194,B1H3O1F4
B(HO)3,mp-23791,6.0572,-2.79796467,0.0,"{5: 1, 1: 3, 8: 3}","[1, 5, 8]",135183,B1H3O3
NaMg3V3Cr3Si6B3H3O31,mp-1221086,1.4672,3.71815716,0.0,"{11: 1, 12: 3, 23: 3, 24: 3, 14: 6, 5: 3, 1: 3, 8: 31}","[1, 5, 8, 11, 12, 14, 23, 24]",1353831111123146233243,Na1Mg3V3Cr3Si6B3H3O31
CaB3H3O7,mp-722262,5.7435,0.7302591,0.0,"{20: 1, 5: 3, 1: 3, 8: 7}","[1, 5, 8, 20]",135387201,Ca1B3H3O7
LiBH4,mp-1192133,6.3705,2.42726724,0.0,"{3: 1, 5: 1, 1: 4}","[1, 3, 5]",143151,Li1B1H4
K4B10H4O19,mp-1197401,5.1432,-0.39851045,0.0,"{19: 4, 5: 10, 1: 4, 8: 19}","[1, 5, 8, 19]",14510819194,K4B10H4O19
NaBH4,mp-38725,6.3086,-2.36026639,0.0,"{11: 1, 5: 1, 1: 4}","[1, 5, 11]",1451111,Na1B1H4
KBH4,mp-37722,6.0959,-3.31419747,0.0,"{19: 1, 5: 1, 1: 4}","[1, 5, 19]",1451191,K1B1H4
RbBH4,mp-1219553,6.0935,-3.50256994,0.0,"{37: 1, 5: 1, 1: 4}","[1, 5, 37]",1451371,Rb1B1H4
CsBH4,mp-1225884,5.7194,-3.02448507,0.0,"{55: 1, 5: 1, 1: 4}","[1, 5, 55]",1451551,Cs1B1H4
Na4Al3Si3B(HO3)4,mp-694981,4.9472,-0.202779,0.0,"{11: 4, 13: 3, 14: 3, 5: 1, 1: 4, 8: 12}","[1, 5, 8, 11, 13, 14]",1451812114133143,Na4Al3Si3B1H4O12
Na4Ga3Si3B(HO3)4,mp-534870,4.2524,-0.67632136,0.0,"{11: 4, 31: 3, 14: 3, 5: 1, 1: 4, 8: 12}","[1, 5, 8, 11, 14, 31]",1451812114143313,Na4Ga3Si3B1H4O12
BH4O2F3,mp-696656,6.8268,-3.2091329,0.0,"{5: 1, 1: 4, 8: 2, 9: 3}","[1, 5, 8, 9]",14518293,B1H4O2F3
NaB3H4O7,mp-720642,5.3518,-0.51938692,0.0,"{11: 1, 5: 3, 1: 4, 8: 7}","[1, 5, 8, 11]",145387111,Na1B3H4O7
Na3B3(HO2)4,mp-1203588,4.7627999999999995,0.04351065,0.0,"{11: 3, 5: 3, 1: 4, 8: 8}","[1, 5, 8, 11]",145388113,Na3B3H4O8
Ca2B3H4ClO8,mp-1204342,5.5358,6.06587917,0.0,"{20: 2, 5: 3, 1: 4, 17: 1, 8: 8}","[1, 5, 8, 17, 20]",145388171202,Ca2B3H4Cl1O8
NaB5(H2O5)2,mp-721294,5.5723,-1.62250221,0.0,"{11: 1, 5: 5, 1: 4, 8: 10}","[1, 5, 8, 11]",1455810111,Na1B5H4O10
KB6P(H2O7)2,mp-758840,5.8809000000000005,4.82134234,0.0,"{19: 1, 5: 6, 15: 1, 1: 4, 8: 14}","[1, 5, 8, 15, 19]",1456814151191,K1B6P1H4O14
CaB8H4O15,mp-23701,5.6011,-0.55559444,0.0,"{20: 1, 5: 8, 1: 4, 8: 15}","[1, 5, 8, 20]",1458815201,Ca1B8H4O15
B8H4PbO15,mp-1200630,4.763299999999999,4.90457742,0.0,"{5: 8, 1: 4, 82: 1, 8: 15}","[1, 5, 8, 82]",1458815821,B8H4Pb1O15
BH5(OF2)2,mp-1196968,7.263999999999999,-3.65475017,0.0,"{5: 1, 1: 5, 8: 2, 9: 4}","[1, 5, 8, 9]",15518294,B1H5O2F4
CsB2H5O6,mp-863006,5.0602,-0.94930926,0.0,"{55: 1, 5: 2, 1: 5, 8: 6}","[1, 5, 8, 55]",155286551,Cs1B2H5O6
B5H5CI,mp-1202707,4.2014,-1.67538265,0.0,"{5: 5, 1: 5, 6: 1, 53: 1}","[1, 5, 6, 53]",155561531,B5H5C1I1
Rb2B7H5O14,mp-1197195,5.1122,-0.96087815,0.0,"{37: 2, 5: 7, 1: 5, 8: 14}","[1, 5, 8, 37]",1557814372,Rb2B7H5O14
Li3MgZn5(BH4)15,mp-1197046,5.202999999999999,-3.83770097,0.0,"{3: 3, 12: 1, 30: 5, 5: 15, 1: 60}","[1, 3, 5, 12, 30]",16033515121305,Li3Mg1Zn5B15H60
Li(BH)6,mp-1198726,5.6126000000000005,-1.71115326,0.0,"{3: 1, 5: 6, 1: 6}","[1, 3, 5]",163156,Li1B6H6
K2B10H6O19,mp-1205077,5.7646,4.56019988,0.0,"{19: 2, 5: 10, 1: 6, 8: 19}","[1, 5, 8, 19]",16510819192,K2B10H6O19
Rb2B10H6O19,mp-698164,5.7894000000000005,-1.09423224,0.0,"{37: 2, 5: 10, 1: 6, 8: 19}","[1, 5, 8, 37]",16510819372,Rb2B10H6O19
AgB11H6CBr6,mp-703539,3.2973,-0.75232231,0.0,"{47: 1, 5: 11, 1: 6, 6: 1, 35: 6}","[1, 5, 6, 35, 47]",1651161356471,Ag1B11H6C1Br6
Na10B18H6O35,mp-1221784,4.6812,0.35895093,0.0,"{11: 10, 5: 18, 1: 6, 8: 35}","[1, 5, 8, 11]",165188351110,Na10B18H6O35
B5H6Br,mp-30977,3.0316,-2.1169162,0.0,"{5: 5, 1: 6, 35: 1}","[1, 5, 35]",1655351,B5H6Br1
Na(BH)6,mp-978278,5.6439,-1.86260873,0.0,"{11: 1, 5: 6, 1: 6}","[1, 5, 11]",1656111,Na1B6H6
K(BH)6,mp-24239,5.5283999999999995,-2.52744351,0.0,"{19: 1, 5: 6, 1: 6}","[1, 5, 19]",1656191,K1B6H6
Rb(BH)6,mp-24123,5.5367,-2.51568475,0.0,"{37: 1, 5: 6, 1: 6}","[1, 5, 37]",1656371,Rb1B6H6
Cs(BH)6,mp-24136,5.3831,-2.57009407,0.0,"{55: 1, 5: 6, 1: 6}","[1, 5, 55]",1656551,Cs1B6H6
Tl(BH)6,mp-23691,4.5268999999999995,-1.30079993,0.0,"{81: 1, 5: 6, 1: 6}","[1, 5, 81]",1656811,Tl1B6H6
SmB9(HO3)6,mp-1201785,5.2966,0.37712173,0.0,"{62: 1, 5: 9, 1: 6, 8: 18}","[1, 5, 8, 62]",1659818621,Sm1B9H6O18
SrCaB11H7O22,mp-1208782,5.8782,5.81215786,0.0,"{38: 1, 20: 1, 5: 11, 1: 7, 8: 22}","[1, 5, 8, 20, 38]",17511822201381,Sr1Ca1B11H7O22
B5H7,mp-706630,3.3929,-2.32359062,0.0,"{5: 5, 1: 7}","[1, 5]",1755,B5H7
Be(BH4)2,mp-27344,6.190300000000001,-3.81718603,0.0,"{4: 1, 5: 2, 1: 8}","[1, 4, 5]",184152,Be1B2H8
Mg(BH4)2,mp-1200811,6.7129,-5.35533472,0.0,"{12: 1, 5: 2, 1: 8}","[1, 5, 12]",1852121,Mg1B2H8
Ca(BH4)2,mp-1190619,4.9736,-2.80545374,0.0,"{20: 1, 5: 2, 1: 8}","[1, 5, 20]",1852201,Ca1B2H8
Zn(BH4)2,mp-1191586,4.6445,-4.55835695,0.0,"{30: 1, 5: 2, 1: 8}","[1, 5, 30]",1852301,Zn1B2H8
Cd(BH4)2,mp-1190754,3.9565,0.78256034,0.0,"{48: 1, 5: 2, 1: 8}","[1, 5, 48]",1852481,Cd1B2H8
Eu(BH4)2,mp-2646920,1.572,1.2615907,0.0,"{63: 1, 5: 2, 1: 8}","[1, 5, 63]",1852631,Eu1B2H8
CsV3B2P4(H4O11)2,mp-1200471,0.0,3.04138735,0.0,"{55: 1, 23: 3, 5: 2, 15: 4, 1: 8, 8: 22}","[1, 5, 8, 15, 23, 55]",1852822154233551,Cs1V3B2P4H8O22
K2B4H8O11,mp-721901,5.2011,-1.32333517,0.0,"{19: 2, 5: 4, 1: 8, 8: 11}","[1, 5, 8, 19]",1854811192,K2B4H8O11
KB5(H2O3)4,mp-706621,5.635,-2.04999211,0.0,"{19: 1, 5: 5, 1: 8, 8: 12}","[1, 5, 8, 19]",1855812191,K1B5H8O12
CsB5(H2O3)4,mp-23742,5.6249,-1.73911712,0.0,"{55: 1, 5: 5, 1: 8, 8: 12}","[1, 5, 8, 55]",1855812551,Cs1B5H8O12
SmB7(HO2)8,mp-1199202,5.7436,5.29819972,0.0,"{62: 1, 5: 7, 1: 8, 8: 16}","[1, 5, 8, 62]",1857816621,Sm1B7H8O16
LiBeB,mp-1018783,0.0,3.03279953,0.0,"{3: 1, 4: 1, 5: 1}","[3, 4, 5]",314151,Li1Be1B1
Sr2LiBeB3O8,mp-1020647,4.7198,1.03961493,0.0,"{38: 2, 3: 1, 4: 1, 5: 3, 8: 8}","[3, 4, 5, 8, 38]",31415388382,Sr2Li1Be1B3O8
