formula,material_id,band_gap,efermi,energy_above_hull,database_IDs,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
AcMgTl2,mp-861735,0.0,6.25833339,0.0,False,"{89: 1, 12: 1, 81: 2}","[12, 81, 89]",121812891,Ac1Mg1Tl2
Ba5Mg18Si13,mp-5080,0.0,4.48064863,0.0,icsd-410451,"{56: 5, 12: 18, 14: 13}","[12, 14, 56]",12181413565,Ba5Mg18Si13
Ac2MgPb,mp-1183078,0.0,6.06368497,0.0,False,"{89: 2, 12: 1, 82: 1}","[12, 82, 89]",121821892,Ac2Mg1Pb1
Ba5Mg18Ge13,mp-1228121,0.0,3.51192452,0.0,False,"{56: 5, 12: 18, 32: 13}","[12, 32, 56]",12183213565,Ba5Mg18Ge13
AcMg,mp-866286,0.0,4.82272517,0.0,False,"{89: 1, 12: 1}","[12, 89]",121891,Ac1Mg1
Ce20Mg19Zn81,mp-569703,0.0,4.2662377,0.0,icsd-260004,"{58: 20, 12: 19, 30: 81}","[12, 30, 58]",121930815820,Ce20Mg19Zn81
Sr5Mg19Ge12,mp-1197892,0.0,3.50324802,0.0,icsd-636958,"{38: 5, 12: 19, 32: 12}","[12, 32, 38]",12193212385,Sr5Mg19Ge12
Ca4Mg4Fe3H22,mp-644264,1.4456000000000002,2.19674178,0.0,icsd-67568,"{20: 4, 12: 4, 26: 3, 1: 22}","[1, 12, 20, 26]",122124204263,Ca4Mg4Fe3H22
Mg21Zn25,mp-570025,0.0,2.99945327,0.0,icsd-240045,"{12: 21, 30: 25}","[12, 30]",12213025,Mg21Zn25
Mg2Al2Se5,mp-29624,1.9699999999999998,2.61202343,0.0,icsd-41928,"{12: 2, 13: 2, 34: 5}","[12, 13, 34]",122132345,Mg2Al2Se5
Mg2Al5Cu6,mp-30178,0.0,7.28941439,0.0,icsd-57694,"{12: 2, 13: 5, 29: 6}","[12, 13, 29]",122135296,Mg2Al5Cu6
Mg2Si,mp-1367,0.21799999999999997,3.40203031,0.0,icsd-181248,"{12: 2, 14: 1}","[12, 14]",122141,Mg2Si1
Mg2SiS4,mp-1193963,2.9690999999999996,6.22807774,0.0,icsd-642791,"{12: 2, 14: 1, 16: 4}","[12, 14, 16]",122141164,Mg2Si1S4
Mg2SiNi3,mp-15779,0.0,7.06593991,0.0,icsd-44926,"{12: 2, 14: 1, 28: 3}","[12, 14, 28]",122141283,Mg2Si1Ni3
Mg2Cu3Si,mp-10746,0.0,6.8276209,0.0,icsd-53304,"{12: 2, 29: 3, 14: 1}","[12, 14, 29]",122141293,Mg2Cu3Si1
Mg2SiSe4,mp-1192582,2.131,4.70185541,0.0,icsd-642818,"{12: 2, 14: 1, 34: 4}","[12, 14, 34]",122141344,Mg2Si1Se4
Mg2SiPt,mp-14793,0.0,7.05286104,0.0,icsd-68513,"{12: 2, 14: 1, 78: 1}","[12, 14, 78]",122141781,Mg2Si1Pt1
Ba(MgSi)2,mp-7875,0.0,4.50520785,0.0,icsd-25311,"{56: 1, 12: 2, 14: 2}","[12, 14, 56]",122142561,Ba1Mg2Si2
La(MgSi)2,mp-1206521,0.0,6.67152309,0.0,pf-39406,"{57: 1, 12: 2, 14: 2}","[12, 14, 57]",122142571,La1Mg2Si2
Ce(MgSi)2,mp-19865,0.0,6.45158962,0.0,icsd-16180,"{58: 1, 12: 2, 14: 2}","[12, 14, 58]",122142581,Ce1Mg2Si2
Mg2Ni3P,mp-8969,0.0,7.62083967,0.0,icsd-72409,"{12: 2, 28: 3, 15: 1}","[12, 15, 28]",122151283,Mg2Ni3P1
Mg2ZnP2,mp-1222129,0.9775,5.38472778,0.0,False,"{12: 2, 30: 1, 15: 2}","[12, 15, 30]",122152301,Mg2Zn1P2
Ba(MgP)2,mp-8278,1.1366,2.98038428,0.0,icsd-30914,"{56: 1, 12: 2, 15: 2}","[12, 15, 56]",122152561,Ba1Mg2P2
Eu(MgP)2,mp-1206478,0.0,4.36399711,0.0,pf-32087,"{63: 1, 12: 2, 15: 2}","[12, 15, 63]",122152631,Eu1Mg2P2
Mg2Co12P7,mp-10922,0.0,8.05226272,0.0,icsd-94409,"{12: 2, 27: 12, 15: 7}","[12, 15, 27]",1221572712,Mg2Co12P7
Mg2GeS4,mp-17441,2.311,2.69270823,0.0,icsd-636952,"{12: 2, 32: 1, 16: 4}","[12, 16, 32]",122164321,Mg2Ge1S4
CaMg2,mp-2432,0.0,2.67991792,0.0,icsd-165564,"{20: 1, 12: 2}","[12, 20]",122201,Ca1Mg2
Ca10Mg2Sb9,mp-569202,0.0,5.08428438,0.0,icsd-171162,"{20: 10, 12: 2, 51: 9}","[12, 20, 51]",1222010519,Ca10Mg2Sb9
Ca(MgAs)2,mp-9564,1.2605000000000004,3.35493344,0.0,icsd-100041,"{20: 1, 12: 2, 33: 2}","[12, 20, 33]",122201332,Ca1Mg2As2
Ca(MgSb)2,mp-9565,0.7931000000000008,4.20916408,0.0,icsd-100045,"{20: 1, 12: 2, 51: 2}","[12, 20, 51]",122201512,Ca1Mg2Sb2
CaLaMg2,mp-861643,0.0,4.114039,0.0,False,"{20: 1, 57: 1, 12: 2}","[12, 20, 57]",122201571,Ca1La1Mg2
CaPmMg2,mp-1183567,0.0,2.78595151,0.0,False,"{20: 1, 61: 1, 12: 2}","[12, 20, 61]",122201611,Ca1Pm1Mg2
Ca(MgBi)2,mp-29208,0.3886000000000003,3.94999074,0.0,icsd-100048,"{20: 1, 12: 2, 83: 2}","[12, 20, 83]",122201832,Ca1Mg2Bi2
CaAcMg2,mp-1183488,0.0,3.69806523,0.0,False,"{20: 1, 89: 1, 12: 2}","[12, 20, 89]",122201891,Ca1Ac1Mg2
Mg2MnGa3,mp-1210648,0.0,4.52343861,0.0,pf-25411,"{12: 2, 25: 1, 31: 3}","[12, 25, 31]",122251313,Mg2Mn1Ga3
Mg2Co12As7,mp-569003,0.0,6.71042649,0.0,icsd-94408,"{12: 2, 27: 12, 33: 7}","[12, 27, 33]",1222712337,Mg2Co12As7
Mg2Ni,mp-2137,0.0,4.66852209,0.0,icsd-56068,"{12: 2, 28: 1}","[12, 28]",122281,Mg2Ni1
LaMg2Ni,mp-11200,0.0,5.94124616,0.0,icsd-96152,"{57: 1, 12: 2, 28: 1}","[12, 28, 57]",122281571,La1Mg2Ni1
CeY(MgNi4)2,mp-1226870,0.0,6.92021058,0.0,False,"{58: 1, 39: 1, 12: 2, 28: 8}","[12, 28, 39, 58]",122288391581,Ce1Y1Mg2Ni8
CeMg2Ni9,mp-13505,0.0,7.1897912,0.0,icsd-55615,"{58: 1, 12: 2, 28: 9}","[12, 28, 58]",122289581,Ce1Mg2Ni9
Mg2Cu,mp-2481,0.0,2.98611265,0.0,icsd-174180,"{12: 2, 29: 1}","[12, 29]",122291,Mg2Cu1
