formula,material_id,band_gap,efermi,energy_above_hull,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
Li2H6Pt,mp-1078552,2.8838,-0.77772612,0.0,"{3: 2, 1: 6, 78: 1}","[1, 3, 78]",1632781,Li2H6Pt1
Li3AlH6,mp-31096,3.5929,0.02417565,0.0,"{3: 3, 13: 1, 1: 6}","[1, 3, 13]",1633131,Li3Al1H6
Li3H6Rh,mp-733455,2.4252,-0.90303132,0.0,"{3: 3, 1: 6, 45: 1}","[1, 3, 45]",1633451,Li3H6Rh1
Li3H6Ir,mp-722890,3.0495,-0.51314061,0.0,"{3: 3, 1: 6, 77: 1}","[1, 3, 77]",1633771,Li3H6Ir1
Li4H6Ru,mp-642847,2.388,0.06934873,0.0,"{3: 4, 1: 6, 44: 1}","[1, 3, 44]",1634441,Li4H6Ru1
Li4H6Os,mp-642996,2.691,-0.0537873,0.0,"{3: 4, 1: 6, 76: 1}","[1, 3, 76]",1634761,Li4H6Os1
LiMg2H7Ru,mp-643276,3.1510000000000002,0.80507616,0.0,"{3: 1, 12: 2, 1: 7, 44: 1}","[1, 3, 12, 44]",1731122441,Li1Mg2H7Ru1
LiUP(H4O5)2,mp-560246,2.5244,-0.48361361,0.0,"{3: 1, 92: 1, 15: 1, 1: 8, 8: 10}","[1, 3, 8, 15, 92]",1831810151921,Li1U1P1H8O10
Li5H9Pt2,mp-643656,0.0,1.61872396,0.0,"{3: 5, 1: 9, 78: 2}","[1, 3, 78]",1935782,Li5H9Pt2
Li,mp-1018134,0.0,0.58312251,0.0,{3: 1},[3],31,Li1
Li10Si(PSe6)2,mp-721253,1.4633,1.05695247,0.0,"{3: 10, 14: 1, 15: 2, 34: 12}","[3, 14, 15, 34]",3101411523412,Li10Si1P2Se12
Li10Ge(PSe6)2,mp-721239,1.3131000000000002,0.96448974,0.0,"{3: 10, 32: 1, 15: 2, 34: 12}","[3, 15, 32, 34]",3101523213412,Li10Ge1P2Se12
Li10Sn(PSe6)2,mp-721252,1.3659000000000001,1.06044858,0.0,"{3: 10, 50: 1, 15: 2, 34: 12}","[3, 15, 34, 50]",3101523412501,Li10Sn1P2Se12
Li10Zn4O9,mp-3297,2.329,0.31932731,0.0,"{3: 10, 30: 4, 8: 9}","[3, 8, 30]",31089304,Li10Zn4O9
