formula,material_id,band_gap,efermi,energy_above_hull,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
Ni3(BiS)2,mp-642190,0.0,7.05610046,0.0,"{28: 3, 83: 2, 16: 2}","[16, 28, 83]",162283832,Ni3Bi2S2
Ni9(SnS)2,mp-1220083,0.0,8.65130786,0.004553491538461074,"{28: 9, 50: 2, 16: 2}","[16, 28, 50]",162289502,Ni9Sn2S2
Ba6Ni25S27,mp-9415,0.0,5.82366762,0.02639964456896582,"{56: 6, 28: 25, 16: 27}","[16, 28, 56]",16272825566,Ba6Ni25S27
LaNi5H6,mp-1222987,0.0,7.43167249,0.009014525937498519,"{57: 1, 28: 5, 1: 6}","[1, 28, 57]",16285571,La1Ni5H6
LiNiBP2H6O11,mp-1212004,0.0,5.36993126,0.01332759291666541,"{3: 1, 28: 1, 5: 1, 15: 2, 1: 6, 8: 11}","[1, 3, 5, 8, 15, 28]",163151811152281,Li1Ni1B1P2H6O11
FeNi35S32,mp-1225604,0.0,7.06867112,0.0,"{26: 1, 28: 35, 16: 32}","[16, 26, 28]",16322612835,Fe1Ni35S32
CuNiSbS3,mp-1191203,0.33199999999999985,5.92496017,0.0,"{29: 1, 28: 1, 51: 1, 16: 3}","[16, 28, 29, 51]",163281291511,Cu1Ni1Sb1S3
UNiS3,mp-1189264,0.0,8.7120042,0.021444308541672008,"{92: 1, 28: 1, 16: 3}","[16, 28, 92]",163281921,U1Ni1S3
K2Ni3S4,mp-17228,0.7685999999999997,3.41967316,0.0,"{19: 2, 28: 3, 16: 4}","[16, 19, 28]",164192283,K2Ni3S4
Ca(NiS2)2,mp-1045498,0.0,4.76081663,0.23524712857142838,"{20: 1, 28: 2, 16: 4}","[16, 20, 28]",164201282,Ca1Ni2S4
Ti2NiS4,mp-1025263,0.0,6.72679617,0.0,"{22: 2, 28: 1, 16: 4}","[16, 22, 28]",164222281,Ti2Ni1S4
V2NiS4,mp-4909,0.0,7.23720666,0.039554076190477794,"{23: 2, 28: 1, 16: 4}","[16, 23, 28]",164232281,V2Ni1S4
CrInNiS4,mp-1226434,0.0,5.34859379,0.10350278264881041,"{24: 1, 49: 1, 28: 1, 16: 4}","[16, 24, 28, 49]",164241281491,Cr1In1Ni1S4
Cr2NiS4,mp-27512,0.0,7.58836712,0.05982087952380866,"{24: 2, 28: 1, 16: 4}","[16, 24, 28]",164242281,Cr2Ni1S4
FeNiS4,mp-1224893,0.0,8.20943521,0.034388392499999476,"{26: 1, 28: 1, 16: 4}","[16, 26, 28]",164261281,Fe1Ni1S4
Fe(NiS2)2,mp-37276,0.0,6.54843258,0.0918864835357125,"{26: 1, 28: 2, 16: 4}","[16, 26, 28]",164261282,Fe1Ni2S4
CoNiS4,mp-1226064,0.0,7.82746203,0.01982050749999953,"{27: 1, 28: 1, 16: 4}","[16, 27, 28]",164271281,Co1Ni1S4
CoCuNiS4,mp-1226116,0.0,6.07605058,0.0,"{27: 1, 29: 1, 28: 1, 16: 4}","[16, 27, 28, 29]",164271281291,Co1Cu1Ni1S4
Ba2CoNiS4,mp-1228387,0.0,4.37668556,0.09857614660714198,"{56: 2, 27: 1, 28: 1, 16: 4}","[16, 27, 28, 56]",164271281562,Ba2Co1Ni1S4
Co(NiS2)2,mp-674355,0.0,6.45392781,0.0,"{27: 1, 28: 2, 16: 4}","[16, 27, 28]",164271282,Co1Ni2S4
Co2NiS4,mp-22658,0.0,6.30251416,0.0,"{27: 2, 28: 1, 16: 4}","[16, 27, 28]",164272281,Co2Ni1S4
Cu2NiSnS4,mp-1225842,0.0,5.14116049,0.026222521458334036,"{29: 2, 28: 1, 50: 1, 16: 4}","[16, 28, 29, 50]",164281292501,Cu2Ni1Sn1S4
Ga2NiS4,mp-6959,0.0,4.30615611,0.04225467952380946,"{31: 2, 28: 1, 16: 4}","[16, 28, 31]",164281312,Ga2Ni1S4
Zr2NiS4,mp-1215577,0.0,5.30637068,0.0,"{40: 2, 28: 1, 16: 4}","[16, 28, 40]",164281402,Zr2Ni1S4
Nb2NiS4,mp-1194246,0.0,4.7033328,0.24839536559523445,"{41: 2, 28: 1, 16: 4}","[16, 28, 41]",164281412,Nb2Ni1S4
NiMo3S4,mp-685980,0.0,6.63630462,0.08578414541666479,"{28: 1, 42: 3, 16: 4}","[16, 28, 42]",164281423,Ni1Mo3S4
NiRuS4,mp-1220049,0.0,8.12918812,0.03002007541666707,"{28: 1, 44: 1, 16: 4}","[16, 28, 44]",164281441,Ni1Ru1S4
Ni(RhS2)2,mp-1104381,0.0,5.9773718,0.0,"{28: 1, 45: 2, 16: 4}","[16, 28, 45]",164281452,Ni1Rh2S4
In2NiS4,mp-674493,0.0,5.66971106,0.07320909648809515,"{49: 2, 28: 1, 16: 4}","[16, 28, 49]",164281492,In2Ni1S4
Hf2NiS4,mp-1224473,0.0,6.23236051,0.0915021657142816,"{72: 2, 28: 1, 16: 4}","[16, 28, 72]",164281722,Hf2Ni1S4
Ta2NiS4,mp-1218077,0.0,6.50471854,0.04542117786865418,"{73: 2, 28: 1, 16: 4}","[16, 28, 73]",164281732,Ta2Ni1S4
Zn(NiS2)2,mp-1443364,0.0,5.55777401,0.10940634142857064,"{30: 1, 28: 2, 16: 4}","[16, 28, 30]",164282301,Zn1Ni2S4
Ni2RhS4,mp-675691,0.0,6.11774148,0.0,"{28: 2, 45: 1, 16: 4}","[16, 28, 45]",164282451,Ni2Rh1S4
Ni3S4,mp-1050,0.0,6.91835082,0.0,"{28: 3, 16: 4}","[16, 28]",164283,Ni3S4
Rb2Ni3S4,mp-1079718,0.8026,3.47403028,0.0,"{37: 2, 28: 3, 16: 4}","[16, 28, 37]",164283372,Rb2Ni3S4
Cs2Ni3S4,mp-28486,0.9065999999999996,3.47529785,0.0,"{55: 2, 28: 3, 16: 4}","[16, 28, 55]",164283552,Cs2Ni3S4
K2Be2NiH6F8,mp-1238483,2.1842,1.08179488,0.3288154237149117,"{19: 2, 4: 2, 28: 1, 1: 6, 9: 8}","[1, 4, 9, 19, 28]",164298192281,K2Be2Ni1H6F8
Cr2Ni2H64N13Cl11O12,mp-1202441,3.7261,-1.49291933,0.03003406911057116,"{24: 2, 28: 2, 1: 64, 7: 13, 17: 11, 8: 12}","[1, 7, 8, 17, 24, 28]",1647138121711242282,Cr2Ni2H64N13Cl11O12
CaNi2S5,mp-1341750,0.0,3.18772757,0.13155004250000069,"{20: 1, 28: 2, 16: 5}","[16, 20, 28]",165201282,Ca1Ni2S5
Ta2NiS5,mp-28308,0.0,3.78012519,0.0,"{73: 2, 28: 1, 16: 5}","[16, 28, 73]",165281732,Ta2Ni1S5
ZnNi2S5,mp-1374814,0.0,4.01388916,0.1666680537500005,"{30: 1, 28: 2, 16: 5}","[16, 28, 30]",165282301,Zn1Ni2S5
Ni4As3S5,mp-1220013,0.0,7.37339578,0.0320918854427088,"{28: 4, 33: 3, 16: 5}","[16, 28, 33]",165284333,Ni4As3S5
Ti3NiS6,mp-13993,0.0,6.2277002,0.0,"{22: 3, 28: 1, 16: 6}","[16, 22, 28]",166223281,Ti3Ni1S6
V3NiS6,mp-676058,0.0,6.59176692,0.05140036633333178,"{23: 3, 28: 1, 16: 6}","[16, 23, 28]",166233281,V3Ni1S6
NiH6C2(NO2)2,mp-1194435,2.8621,-0.60499234,0.030944086444444352,"{28: 1, 1: 6, 6: 2, 7: 2, 8: 4}","[1, 6, 7, 8, 28]",16627284281,Ni1H6C2N2O4
